developer,mensaje
Wild Games Studio,"Wild Games Studio : Negative = 4, Neutral = 4, Positive = 2"
Wild Shadow Studios,"Wild Shadow Studios : Negative = 98, Neutral = 58, Positive = 36"
WildTangent,"WildTangent : Negative = 1, Neutral = 0, Positive = 0"
Wildgrass,"Wildgrass : Negative = 1, Neutral = 0, Positive = 0"
Windybeard,"Windybeard : Negative = 1, Neutral = 0, Positive = 0"
Winter Wolves,"Winter Wolves : Negative = 4, Neutral = 0, Positive = 0"
"Wisdom Tree, Inc.","Wisdom Tree, Inc. : Negative = 0, Neutral = 1, Positive = 0"
Witch Beam,"Witch Beam : Negative = 3, Neutral = 0, Positive = 0"
With The Love Studios,"With The Love Studios : Negative = 0, Neutral = 1, Positive = 0"
Wizarbox,"Wizarbox : Negative = 1, Neutral = 1, Positive = 1"
Wolfire Games,"Wolfire Games : Negative = 24, Neutral = 13, Positive = 5"
"World-Loom,Nitreal","World-Loom,Nitreal : Negative = 1, Neutral = 0, Positive = 0"
Wyrmbyte,"Wyrmbyte : Negative = 5, Neutral = 0, Positive = 2"
X-Legend,"X-Legend : Negative = 17, Neutral = 5, Positive = 1"
"X1 Software,AWAR","X1 Software,AWAR : Negative = 1, Neutral = 0, Positive = 0"
XGen Studios,"XGen Studios : Negative = 0, Neutral = 1, Positive = 0"
XLGAMES,"XLGAMES : Negative = 10, Neutral = 2, Positive = 1"
XYLA Entertainment,"XYLA Entertainment : Negative = 3, Neutral = 1, Positive = 1"
"Xavi Canal, Ben Palgi","Xavi Canal, Ben Palgi : Negative = 3, Neutral = 2, Positive = 0"
Xaviant,"Xaviant : Negative = 6, Neutral = 2, Positive = 0"
Xtal Sword,"Xtal Sword : Negative = 3, Neutral = 2, Positive = 2"
YFC games,"YFC games : Negative = 1, Neutral = 0, Positive = 0"
Yacht Club Games,"Yacht Club Games : Negative = 11, Neutral = 4, Positive = 2"
Yager Development,"Yager Development : Negative = 44, Neutral = 28, Positive = 5"
Yakiniku Banzai,"Yakiniku Banzai : Negative = 0, Neutral = 3, Positive = 0"
YeaBoing,"YeaBoing : Negative = 0, Neutral = 1, Positive = 0"
Yeti Trunk,"Yeti Trunk : Negative = 1, Neutral = 0, Positive = 0"
Young Horses,"Young Horses : Negative = 20, Neutral = 5, Positive = 5"
Z4G0 and Ivan Venturi Productions,"Z4G0 and Ivan Venturi Productions : Negative = 1, Neutral = 0, Positive = 0"
Zachtronics,"Zachtronics : Negative = 11, Neutral = 2, Positive = 3"
ZackBellGames,"ZackBellGames : Negative = 1, Neutral = 0, Positive = 0"
Zanrai Interactive,"Zanrai Interactive : Negative = 0, Neutral = 1, Positive = 0"
Zaratustra Productions,"Zaratustra Productions : Negative = 3, Neutral = 0, Positive = 0"
"Zaxis Games,B-evil","Zaxis Games,B-evil : Negative = 0, Neutral = 2, Positive = 0"
Zbigniew Ochman,"Zbigniew Ochman : Negative = 0, Neutral = 0, Positive = 1"
Zeboyd Games,"Zeboyd Games : Negative = 4, Neutral = 1, Positive = 0"
Zeiva Inc,"Zeiva Inc : Negative = 3, Neutral = 1, Positive = 1"
Zen Studios,"Zen Studios : Negative = 2, Neutral = 0, Positive = 0"
Zenimax Online Studios,"Zenimax Online Studios : Negative = 15, Neutral = 12, Positive = 0"
Zero Point Software,"Zero Point Software : Negative = 20, Neutral = 6, Positive = 3"
Zero Sum Games,"Zero Sum Games : Negative = 5, Neutral = 0, Positive = 0"
Zeroscale,"Zeroscale : Negative = 1, Neutral = 1, Positive = 1"
Zombie Panic Team,"Zombie Panic Team : Negative = 14, Neutral = 5, Positive = 13"
Zombie Studios,"Zombie Studios : Negative = 0, Neutral = 2, Positive = 2"
Zootfly,"Zootfly : Negative = 1, Neutral = 1, Positive = 0"
Zoë Mode,"Zoë Mode : Negative = 1, Neutral = 0, Positive = 1"
"Zykov Eddy,Xitilon","Zykov Eddy,Xitilon : Negative = 1, Neutral = 0, Positive = 1"
app2fun,"app2fun : Negative = 1, Neutral = 0, Positive = 0"
b-Alive,"b-Alive : Negative = 0, Neutral = 1, Positive = 0"
b-alive gmbh,"b-alive gmbh : Negative = 2, Neutral = 0, Positive = 0"
bitHuffel,"bitHuffel : Negative = 1, Neutral = 0, Positive = 0"
doublesix,"doublesix : Negative = 1, Neutral = 0, Positive = 0"
electrolyte,"electrolyte : Negative = 1, Neutral = 0, Positive = 0"
exosyphen studios,"exosyphen studios : Negative = 2, Neutral = 0, Positive = 0"
"gord10,Aslan Game Studio","gord10,Aslan Game Studio : Negative = 0, Neutral = 1, Positive = 1"
id Software,"id Software : Negative = 50, Neutral = 21, Positive = 9"
inXile Entertainment,"inXile Entertainment : Negative = 7, Neutral = 0, Positive = 0"
increpare games,"increpare games : Negative = 2, Neutral = 0, Positive = 0"
inner seas,"inner seas : Negative = 0, Neutral = 0, Positive = 2"
isTom Games Kft.,"isTom Games Kft. : Negative = 2, Neutral = 0, Positive = 3"
kunst-stoff GmbH,"kunst-stoff GmbH : Negative = 0, Neutral = 1, Positive = 0"
marbenx,"marbenx : Negative = 6, Neutral = 6, Positive = 6"
minori,"minori : Negative = 2, Neutral = 0, Positive = 1"
momoStorm Entertainment,"momoStorm Entertainment : Negative = 1, Neutral = 0, Positive = 0"
ninjalex,"ninjalex : Negative = 2, Neutral = 0, Positive = 0"
nornware AB,"nornware AB : Negative = 0, Neutral = 0, Positive = 1"
oddonegames,"oddonegames : Negative = 1, Neutral = 0, Positive = 0"
practicing01,"practicing01 : Negative = 0, Neutral = 1, Positive = 0"
quad games,"quad games : Negative = 0, Neutral = 0, Positive = 1"
rdt.32,"rdt.32 : Negative = 3, Neutral = 1, Positive = 0"
roseVeRte,"roseVeRte : Negative = 0, Neutral = 1, Positive = 0"
souvenir circ.,"souvenir circ. : Negative = 1, Neutral = 0, Positive = 0"
sparsevector,"sparsevector : Negative = 6, Neutral = 7, Positive = 3"
stage-nana,"stage-nana : Negative = 10, Neutral = 1, Positive = 5"
storm_sharks,"storm_sharks : Negative = 0, Neutral = 1, Positive = 0"
the whale husband,"the whale husband : Negative = 6, Neutral = 5, Positive = 4"
tinyBuild,"tinyBuild : Negative = 0, Neutral = 1, Positive = 0"
tobyfox,"tobyfox : Negative = 75, Neutral = 29, Positive = 19"
varlamov5264,"varlamov5264 : Negative = 0, Neutral = 0, Positive = 1"
vidiludi games and entertainment,"vidiludi games and entertainment : Negative = 1, Neutral = 0, Positive = 0"
webgames,"webgames : Negative = 1, Neutral = 0, Positive = 0"
"高考恋爱委员会,橘子班","高考恋爱委员会,橘子班 : Negative = 1, Neutral = 0, Positive = 0"
